Thumbs Up: 66
Thumbs Down: 123

Gesture Sequence:
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Down
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Up
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Up
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
Thumbs Down
